id,ta,ts,tf
619,76951,8,76973
618,76718,261,77290
621,77125,46,77296
623,77230,15,77307
620,77006,120,77343
626,77346,30,77485
624,77276,56,77513
625,77327,96,77769
629,77554,50,77843
630,77709,50,78065
635,78131,43,78520
622,77200,230,78614
631,77753,105,78619
627,77398,187,78686
643,78695,6,78788
639,78616,29,78961
644,79008,3,79048
636,78246,85,79145
634,77976,139,79324
628,77528,218,79350
642,78690,70,79456
633,77826,174,79462
638,78472,107,79573
641,78639,90,79587
652,79638,16,79823
648,79482,36,79851
647,79467,39,79882
645,79022,82,79888
650,79591,34,79978
657,80083,1,80123
653,79708,41,80176
656,79990,43,80403
640,78620,173,80420
646,79092,163,80667
637,78404,242,80789
661,80772,9,80878
632,77783,333,80883
649,79566,174,81141
662,80946,58,81387
655,79811,214,81569
654,79735,237,81674
651,79615,261,81751
659,80690,153,81776
663,81479,52,81792
665,81753,141,82481
658,80341,349,82602
660,80771,298,82612
668,82260,47,82647
669,82373,45,82772
667,82174,83,82811
664,81676,207,82874
666,82123,113,82943
673,82697,38,82953
670,82406,79,82984
674,82869,26,83002
671,82419,192,83218
672,82514,290,83328
676,83412,1,83413
675,83408,342,83795
678,83730,58,83869
677,83729,149,83962
679,83954,36,83994
680,84205,25,84246
682,84247,16,84278
686,84627,35,84805
681,84214,253,84818
684,84436,116,84862
685,84600,87,84929
687,84893,102,85111
683,84362,294,85133
688,85184,116,85408
689,85189,145,85445
690,85451,37,85504
691,85474,30,85518
693,85615,21,85667
692,85602,41,85680
695,85695,14,85722
694,85639,50,85728
696,85781,88,85869
697,85867,14,85883
698,85972,5,85977
700,86050,69,86191
702,86227,36,86331
699,86002,216,86423
701,86179,212,86551
704,86617,27,86670
703,86518,209,86771
707,86884,1,86889
706,86833,38,86911
705,86808,129,86976
708,87080,17,87097
709,87317,168,87485
710,87787,73,87860
711,87879,58,87937
712,88096,1,88097
714,88469,2,88474
713,88436,39,88477
716,88734,21,88777
717,88918,24,88965
719,89157,18,89211
718,89030,120,89287
715,88660,556,89407
721,89423,50,89521
720,89391,93,89542
722,89615,283,89946
723,89849,58,89956
724,90059,32,90091
725,90225,37,90262
727,90310,1,90311
726,90290,72,90363
729,90857,15,90886
728,90819,100,90934
731,91004,34,91072
730,90950,103,91087
732,91165,11,91176
733,91338,31,91389
734,91347,109,91550
735,91409,132,91614
737,91694,23,91737
736,91605,183,91816
738,91848,32,91880
739,91924,81,92005
740,92692,57,92749
741,92961,54,93035
743,93073,14,93101
745,93124,3,93132
742,92997,109,93161
746,93173,37,93246
744,93120,115,93309
747,93277,21,93314
748,93436,8,93444
749,93595,52,93647
750,93910,54,93996
751,93932,34,93998
752,94145,11,94156
753,94409,65,94474
755,94579,15,94609
754,94570,66,94651
759,95559,11,95609
758,95422,99,95832
761,95622,41,95865
764,95942,1,95962
760,95585,78,96004
763,95767,73,96133
762,95722,92,96161
756,95274,356,96249
765,96196,102,96523
757,95421,348,96827
766,96316,116,96879
768,96392,119,97038
771,96814,84,97206
769,96486,157,97259
767,96392,188,97271
770,96650,175,97314
772,97341,15,97356
773,97439,71,97510
774,97649,60,97717
775,97698,12,97721
776,98069,72,98141
777,98200,215,98415
778,98448,152,98716
779,98519,184,99004
782,99063,17,99117
781,98746,173,99246
784,99161,54,99408
789,99363,6,99422
786,99289,63,99685
790,99526,37,99790
783,99142,128,99834
780,98606,335,99901
791,99729,31,99924
785,99259,111,99931
787,99352,106,100001
796,100104,31,100312
793,99946,80,100396
788,99363,184,100456
