id,ta,ts,tf
447,55046,90,55294
446,55015,119,55311
442,54676,210,55313
451,55536,20,55556
450,55470,116,55606
452,55724,15,55739
453,55782,16,55798
454,55951,20,55971
455,56111,72,56183
456,56203,12,56215
459,56595,9,56604
458,56568,30,56610
461,56730,41,56771
460,56638,159,56938
457,56536,175,56950
462,57070,1,57071
463,57135,46,57240
464,57136,62,57267
465,57178,221,57464
466,57628,127,57755
467,57910,197,58107
468,58130,27,58157
469,58187,12,58199
473,58775,51,58826
472,58676,86,58920
475,59047,10,59057
474,59022,38,59070
471,58596,166,59073
477,59260,10,59270
476,59219,42,59271
478,59361,24,59393
479,59369,101,59486
470,58477,485,59490
480,59902,13,59923
482,60032,56,60088
481,59903,189,60160
483,60498,28,60526
486,60737,2,60739
485,60668,53,60779
487,60744,99,60974
489,61013,38,61051
493,61199,6,61205
494,61245,14,61259
491,61057,107,61310
490,61052,133,61563
496,61598,5,61603
495,61497,97,61609
501,61836,10,61846
498,61629,104,61926
500,61694,128,62160
504,62199,7,62206
505,62222,69,62481
502,62099,88,62519
510,62692,42,62734
511,62763,1,62764
506,62268,144,62818
512,62846,54,62900
508,62416,101,63112
513,62965,78,63134
516,63247,27,63274
517,63334,43,63401
515,63147,57,63434
509,62617,209,63530
519,63601,54,63717
522,63818,31,63849
521,63672,67,63860
492,61171,217,64017
484,60630,244,64124
523,64171,36,64207
526,64427,23,64450
525,64327,71,64465
527,64704,9,64713
530,64942,2,64944
532,65058,26,65116
533,65117,32,65173
534,65145,69,65242
535,65195,42,65260
536,65325,13,65346
537,65337,16,65354
538,65384,49,65433
539,65475,73,65548
524,64282,165,65688
503,62186,314,65727
507,62303,192,65733
514,63041,283,65827
540,65885,31,65916
541,65973,52,66025
542,66034,38,66072
544,66109,56,66342
546,66125,72,66461
549,66222,44,66481
543,66077,92,66509
547,66179,63,66580
488,60779,277,66746
550,66836,76,66912
551,67014,54,67068
497,61612,447,67182
554,67322,28,67428
557,67497,6,67503
559,67712,2,67714
555,67355,131,67800
553,67320,139,67824
563,68062,50,68112
556,67458,135,68146
565,68237,3,68240
564,68218,24,68245
566,68262,21,68283
562,67945,71,68290
560,67714,105,68293
567,68325,45,68370
531,65027,139,68376
568,68429,45,68474
569,68474,16,68498
570,68482,32,68522
548,66191,127,68529
520,63650,297,68535
571,68539,107,68646
528,64738,216,68662
572,68675,6,68681
529,64767,210,68690
573,68722,58,68780
518,63343,253,69063
545,66117,271,69161
575,69178,86,69264
552,67199,196,69327
558,67626,278,69453
574,68870,213,69692
499,61631,400,69760
561,67903,272,69778
576,69479,226,69884
579,70107,15,70138
578,70090,76,70181
582,70275,3,70278
583,70291,22,70329
585,70455,49,70504
577,69951,178,70726
581,70262,186,70753
584,70350,148,70781
580,70190,173,70801
587,71058,115,71242
586,70990,110,71271
590,71303,47,71382
591,71467,93,71680
593,71860,1,71861
589,71278,167,71886
594,71923,34,71957
588,71127,270,71984
592,71518,184,72131
595,71998,186,72197
596,72458,77,72535
598,73090,18,73108
597,72990,136,73144
599,73430,80,73510
600,74220,21,74241
601,74300,43,74343
602,74344,36,74380
605,74738,48,74786
606,74912,49,74985
607,74913,118,75199
604,74631,121,75264
609,75344,111,75455
611,75557,81,75702
603,74574,402,75790
612,75913,52,75965
610,75497,152,75993
613,76044,3,76047
608,75084,355,76066
614,76223,97,76376
615,76230,75,76395
616,76403,59,76462
619,76951,8,76959
621,77125,46,77171
620,77006,120,77172
617,76642,199,77182
623,77230,15,77245
626,77346,30,77492
624,77276,56,77512
629,77554,50,77668
630,77709,50,77783
625,77327,96,77975
635,78131,43,78174
622,77200,230,78562
631,77753,105,78584
636,78246,85,78613
639,78616,29,78677
643,78695,6,78704
644,79008,3,79011
641,78639,90,79169
642,78690,70,79183
638,78472,107,79186
645,79022,82,79276
647,79467,39,79530
648,79482,36,79542
652,79638,16,79670
650,79591,34,79763
653,79708,41,79780
656,79990,43,80033
657,80083,1,80084
649,79566,174,80270
633,77826,174,80515
637,78404,242,80637
634,77976,139,80644
628,77528,218,80689
661,80772,9,80804
662,80946,58,81068
646,79092,163,81111
618,76718,261,81124
627,77398,187,81149
651,79615,261,81241
655,79811,214,81335
654,79735,237,81402
663,81479,52,81531
659,80690,153,81945
667,82174,83,82313
668,82260,47,82336
666,82123,113,82366
669,82373,45,82471
670,82406,79,82620
673,82697,38,82735
640,78620,173,82820
674,82869,26,82895
665,81753,141,82916
660,80771,298,82920
632,77783,333,82999
658,80341,349,83093
671,82419,192,83154
664,81676,207,83299
672,82514,290,83328
676,83412,1,83417
678,83730,58,83907
675,83408,342,83929
679,83954,36,83990
677,83729,149,83994
680,84205,25,84238
682,84247,16,84279
686,84627,35,84694
684,84436,116,84754
685,84600,87,84846
687,84893,102,84995
681,84214,253,85006
683,84362,294,85133
688,85184,116,85356
689,85189,145,85445
690,85451,37,85496
691,85474,30,85518
693,85615,21,85660
692,85602,41,85688
695,85695,14,85709
694,85639,50,85728
697,85867,14,85881
696,85781,88,85883
698,85972,5,85977
702,86227,36,86295
700,86050,69,86308
699,86002,216,86467
704,86617,27,86644
701,86179,212,86725
703,86518,209,86771
707,86884,1,86885
706,86833,38,86899
705,86808,129,86976
708,87080,17,87097
709,87317,168,87485
710,87787,73,87860
711,87879,58,87937
712,88096,1,88097
714,88469,2,88471
713,88436,39,88477
716,88734,21,88755
717,88918,24,88942
718,89030,120,89150
719,89157,18,89175
721,89423,50,89505
720,89391,93,89534
715,88660,556,89542
723,89849,58,89907
722,89615,283,89956
724,90059,32,90091
725,90225,37,90262
727,90310,1,90311
726,90290,72,90363
729,90857,15,90872
728,90819,100,90934
731,91004,34,91070
730,90950,103,91087
732,91165,11,91176
733,91338,31,91393
734,91347,109,91534
737,91694,23,91717
735,91409,132,91786
736,91605,183,91816
738,91848,32,91880
739,91924,81,92005
740,92692,57,92749
741,92961,54,93039
743,93073,14,93087
745,93124,3,93131
746,93173,37,93242
742,92997,109,93260
747,93277,21,93298
744,93120,115,93314
748,93436,8,93444
749,93595,52,93647
750,93910,54,93988
751,93932,34,93998
752,94145,11,94156
753,94409,65,94474
755,94579,15,94610
754,94570,66,94651
759,95559,11,95570
761,95622,41,95695
758,95422,99,95883
760,95585,78,95892
764,95942,1,95943
762,95722,92,95958
763,95767,73,95975
765,96196,102,96298
766,96316,116,96614
768,96392,119,96755
769,96486,157,97040
771,96814,84,97068
757,95421,348,97164
756,95274,356,97227
767,96392,188,97259
770,96650,175,97314
772,97341,15,97356
773,97439,71,97510
775,97698,12,97710
774,97649,60,97721
776,98069,72,98141
777,98200,215,98415
778,98448,152,98896
779,98519,184,99024
782,99063,17,99080
781,98746,173,99133
784,99161,54,99287
789,99363,6,99377
786,99289,63,99441
790,99526,37,99563
785,99259,111,99616
787,99352,106,99663
791,99729,31,99760
783,99142,128,99798
796,100104,31,100167
793,99946,80,100364
792,99821,134,100570
798,100596,43,100663
799,100630,52,100715
804,100886,1,100887
803,100786,37,100932
794,99981,204,101240
795,99984,180,101289
807,101381,19,101400
805,101304,69,101441
806,101314,55,101471
809,101582,46,101628
788,99363,184,101661
802,100777,125,101793
800,100670,224,101831
808,101401,138,101993
780,98606,335,101994
811,102011,4,102015
797,100172,164,102020
810,101855,174,102074
801,100734,312,102121
812,102247,21,102268
814,102325,69,102562
815,102350,133,102767
813,102311,266,102779
816,102851,28,102879
817,102981,57,103038
819,103333,39,103396
821,103414,4,103418
820,103361,51,103427
823,103626,85,103711
822,103439,140,103731
824,103804,20,103824
818,103196,554,104089
825,104371,83,104454
826,104662,34,104696
829,104830,49,104911
827,104740,78,104931
828,104766,83,104950
833,105367,29,105498
834,105378,30,105504
836,105539,1,105540
837,105685,46,105755
832,105351,131,105848
840,105936,16,105952
841,105970,17,105987
839,105857,76,106100
843,106119,12,106131
844,106211,4,106215
842,106024,60,106219
831,105325,190,106260
835,105405,168,106307
830,105222,220,106360
838,105687,193,106415
846,106458,13,106487
847,106514,68,106678
850,106856,20,106876
849,106755,73,106893
848,106705,122,106920
854,107303,61,107544
855,107419,117,107699
857,107891,71,108018
858,107906,66,108028
845,106449,444,108139
859,108149,31,108180
860,108190,33,108223
851,107016,239,108404
853,107239,202,108468
852,107198,290,108545
856,107582,139,108558
861,108229,129,108567
863,108594,11,108621
864,108723,81,108924
867,108945,7,108952
866,108814,118,109014
865,108782,112,109041
862,108580,230,109139
870,109248,36,109369
869,109245,65,109442
868,109208,212,109521
871,109524,7,109531
872,109641,28,109669
874,109802,6,109808
873,109794,49,109849
879,110186,21,110224
880,110285,1,110286
881,110291,16,110315
882,110295,47,110354
889,110790,3,110793
888,110752,48,110851
886,110543,95,110914
876,110020,133,110971
877,110083,162,110994
883,110472,102,111019
885,110538,120,111155
892,111161,50,111211
890,110803,65,111220
894,111297,18,111315
896,111430,40,111470
893,111268,63,111568
895,111350,86,111662
898,111717,20,111737
899,111821,2,111823
897,111510,121,111932
900,111934,51,111985
878,110179,135,112000
901,112020,16,112036
903,112242,24,112266
904,112274,45,112343
905,112308,123,112576
884,110517,337,112855
902,112113,212,112947
887,110597,269,112988
875,109897,138,112993
908,113024,15,113039
907,112424,219,113138
891,111035,374,113241
909,113266,27,113301
910,113287,200,113743
911,113390,226,113849
906,112378,225,113866
913,113880,4,113884
914,113937,3,113940
915,114016,8,114024
916,114021,39,114063
912,113584,304,114104
917,114226,41,114267
919,114307,3,114310
918,114292,30,114325
921,114454,26,114512
922,114650,8,114658
924,114843,6,114849
923,114692,139,114868
925,114894,1,114895
926,114919,32,114975
920,114428,389,115149
929,115161,23,115201
931,115203,27,115326
930,115178,114,115384
927,114945,242,115570
932,115600,66,115666
934,115779,34,115813
936,115911,47,115958
935,115831,111,116013
937,116098,5,116103
928,115149,356,116347
938,116363,40,116403
933,115720,349,116443
939,116486,47,116557
940,116532,34,116619
942,116576,26,116653
941,116564,65,116658
943,116668,19,116687
944,116705,9,116714
945,116892,14,116906
946,117110,65,117175
948,117569,19,117588
947,117539,117,117675
950,118381,23,118404
949,118356,56,118435
951,118555,131,118686
952,118870,1,118871
953,119192,32,119224
955,119571,36,119639
959,119737,59,119884
960,119756,52,119912
961,119934,3,119937
957,119611,82,120069
962,120116,61,120201
963,120134,50,120227
954,119336,368,120570
956,119590,350,120902
958,119663,282,120927
964,120236,308,121107
965,120962,200,121187
966,121341,89,121430
969,121970,21,121999
968,121936,25,122016
973,122073,1,122074
974,122120,4,122124
971,122043,47,122197
967,121896,150,122270
977,122361,1,122362
979,122453,18,122471
978,122392,31,122473
972,122046,88,122560
975,122271,63,122567
981,122594,50,122644
976,122344,116,122681
980,122473,100,122725
970,121984,208,122819
983,122948,5,122953
987,123152,32,123216
989,123179,9,123217
982,122889,106,123326
986,123103,103,123437
990,123462,9,123471
988,123163,65,123480
985,123036,189,123680
984,122987,311,123718
992,123996,56,124104
991,123960,69,124170
994,124048,56,124202
993,124000,42,124207
995,124117,67,124250
996,124419,7,124426
1000,124682,19,124701
1001,124763,2,124765
999,124618,138,125186
1003,124808,66,125196
1005,125322,55,125377
998,124603,140,125452
1007,125547,22,125569
1002,124766,208,125721
1008,125734,59,125793
1004,125258,154,125819
1009,125857,18,125883
1012,125925,21,125962
1010,125866,57,125980
1011,125914,75,126028
1013,126046,14,126060
1014,126082,102,126184
1015,126197,45,126242
1006,125452,282,126305
997,124598,269,126344
1017,126688,38,126772
1016,126666,48,126776
1019,126865,23,126896
1020,126886,60,127080
1023,127110,38,127148
1024,127276,30,127306
1022,126988,129,127500
1018,126702,335,127618
1021,126954,246,127733
1025,127371,129,127742
1026,127759,24,127783
1031,128067,87,128378
1034,128508,6,128514
1033,128422,93,128657
1035,128564,107,129074
1030,128001,243,129170
1041,129188,1,129189
1042,129280,50,129330
1038,128909,116,129500
1039,128979,104,129521
1027,127793,154,129555
1046,129917,18,129957
1045,129915,66,129999
1036,128731,140,130005
1047,130005,23,130036
1051,130129,45,130278
1053,130312,10,130322
1050,130113,85,130405
1049,130037,98,130565
1054,130328,73,130582
1057,130765,3,130768
1060,131032,11,131043
1059,130980,74,131065
1062,131144,53,131277
1028,127913,190,131588
1069,132264,41,132305
1067,131947,183,132403
1032,128099,189,132410
1052,130159,202,132492
1070,132514,114,132628
1037,128799,202,132676
1071,132738,77,132927
1073,132850,67,133002
1055,130587,189,133005
1074,133212,101,133313
1075,133432,51,133483
1063,131150,129,133492
1076,133557,34,133591
1043,129596,339,133682
1077,133734,45,133779
1044,129763,234,133961
1078,133967,13,133980
1082,134355,1,134356
1083,134380,26,134406
1080,134128,137,134436
1048,130022,233,134588
1056,130653,199,134605
1084,134643,20,134663
1085,134679,86,134765
1086,134788,15,134803
1058,130906,295,134818
1087,134834,24,134858
1088,134897,4,134901
1065,131752,272,134925
1066,131932,151,134943
1068,132170,273,135044
1079,134032,168,135052
1072,132742,167,135376
1040,129103,288,135390
1091,135400,51,135451
1092,135485,28,135513
1093,135659,122,135837
1094,135758,90,135871
1095,135978,73,136051
1097,136119,67,136332
1099,136347,47,136394
1102,136644,15,136659
1100,136446,86,136685
1101,136474,118,136747
1061,131085,252,136831
1029,127927,498,137033
1081,134248,325,137151
1090,135151,179,137302
1096,136087,253,137354
1103,137448,59,137564
1106,137564,17,137581
1108,137789,1,137790
1105,137503,122,137894
1112,138065,22,138087
1111,138005,54,138113
1113,138115,19,138134
1114,138219,93,138417
1109,137796,157,138443
1116,138511,60,138571
1117,138717,4,138721
1104,137470,131,138723
1107,137765,181,138778
1118,138837,43,138880
1115,138324,161,138921
1064,131193,390,138944
1098,136265,427,139262
1110,137961,263,139326
1120,139552,32,139592
1122,139659,63,139746
1121,139574,88,139791
1126,139864,36,140015
1127,139867,46,140061
1125,139857,32,140067
1123,139700,141,140161
1131,140281,16,140297
1129,140015,77,140318
1134,140468,8,140476
1133,140458,47,140513
1136,140678,10,140688
1132,140398,134,140907
1137,140956,2,140958
1119,139017,310,141050
1124,139846,163,141079
1140,141203,37,141268
1139,141120,58,141377
1143,141291,39,141424
1141,141231,71,141497
1138,141107,111,141610
1146,141774,4,141778
1135,140571,223,142073
1089,135097,767,142077
1128,139979,249,142121
1144,141426,133,142134
1147,142159,85,142244
1148,142264,17,142281
1149,142298,90,142388
1151,142462,3,142465
1153,142510,8,142518
1152,142494,29,142531
1155,142726,78,142900
1150,142427,196,143208
1145,141506,308,143272
1154,142695,228,143373
1157,143424,8,143432
1158,143425,22,143470
1160,143437,12,143490
1161,143497,16,143513
1159,143426,116,143598
1162,143603,1,143604
1163,143620,66,143686
1166,143814,4,143818
1142,141273,266,144028
1156,143052,139,144031
1167,144039,22,144061
1169,144127,10,144137
1168,144061,69,144140
1170,144203,70,144273
1171,144333,49,144382
1172,144703,17,144720
1173,144901,65,144966
1165,143796,310,145021
1174,145055,87,145142
1175,145259,126,145441
1177,145528,120,145704
1164,143720,600,145867
1179,145872,42,145914
1130,140172,979,146020
1176,145305,205,146226
1178,145592,160,146260
1181,146324,7,146331
1180,146026,189,146336
1184,146626,28,146689
1183,146582,80,146770
1187,146788,3,146791
1186,146706,55,146804
1188,146890,77,146967
1189,147104,47,147151
1185,146661,284,147187
1182,146457,224,147255
1190,147373,138,147567
1191,147491,78,147589
1192,147632,43,147699
1194,147814,35,147849
1197,148204,44,148297
1198,148221,80,148449
1199,148458,14,148472
1195,147950,156,148505
1202,148887,39,148926
1201,148780,89,148959
1196,148201,291,149062
1193,147641,516,149080
1200,148754,238,149177
1203,149193,55,149248
1204,149292,20,149312
1205,149585,4,149589
1206,149680,42,149722
1207,149908,20,149928
1209,150028,26,150054
1210,150067,28,150095
1208,149929,191,150230
1211,150129,135,150309
1212,150475,63,150538
1213,150664,28,150708
1215,150695,32,150780
1214,150687,83,150807
1216,150813,17,150830
1217,150967,51,151018
1218,151112,18,151130
1219,151170,35,151205
1220,151663,217,151880
1221,151941,40,151981
1222,152073,4,152077
1223,152102,13,152131
1226,152265,32,152297
1224,152112,95,152405
1225,152117,210,152572
1228,152599,55,152654
1230,152761,38,152807
1231,152783,30,152829
1235,153116,25,153141
1232,152836,97,153180
1234,153014,80,153204
1233,152836,107,153209
1229,152663,221,153389
1227,152348,301,153406
1236,153484,40,153582
1238,153535,37,153627
1237,153517,213,153774
1239,153887,3,153890
1240,153996,1,153997
1241,154133,18,154151
1242,154216,71,154343
1243,154251,61,154348
1244,154353,69,154446
1245,154402,105,154527
1248,154848,48,154896
1250,155112,51,155163
1247,154718,184,155259
1251,155282,47,155353
1252,155291,42,155371
1254,155546,38,155584
1249,154941,179,155602
1253,155412,174,155656
1257,155720,3,155723
1256,155690,45,155744
1258,155919,24,155943
1259,155981,67,156072
1260,156034,70,156118
